UF;ano;qtd;taxa_100mil_hab
Brasil;2021;852991;423.7227086
AC;2021;4903;596.4813924
AL;2021;9563;305.8274879
AP;2021;0;0
AM;2021;37831;969.2612087
BA;2021;48895;346.1235709
CE;2021;36780;419.6995217
DF;2021;23128;827.0360596
ES;2021;24686;648.4470539
GO;2021;28141;403.8832265
MA;2021;22514;333.1234686
MT;2021;18092;501.6026846
MS;2021;4350;159.2787954
MG;2021;47681;233.0419018
PA;2021;60474;749.224877
PB;2021;4800;121.2989781
PR;2021;30576;269.1552968
PE;2021;40658;449.9384998
PI;2021;19176;588.8295569
RJ;2021;29127;181.4863478
RN;2021;18909;574.5307327
RS;2021;13957;128.4588501
RO;2021;4593;290.7945911
RR;2021;3791;610.6462821
SC;2021;17159;228.9035423
SP;2021;289461;655.5228519
SE;2021;8638;393.0360247
TO;2021;5108;340.3538156
Brasil;2022;999223;493.8604848
AC;2022;4763;573.8374461
AL;2022;10429;333.4600582
AP;2022;0;0
AM;2022;40008;1015.128737
BA;2022;83433;590.1990582
CE;2022;41097;467.4528941
DF;2022;28405;1008.317868
ES;2022;25679;669.8602786
GO;2022;28960;410.4757493
MA;2022;22650;334.3098428
MT;2022;10834;296.1069615
MS;2022;4557;165.3063445
MG;2022;53629;261.1117208
PA;2022;58662;722.7827246
PB;2022;4603;115.8134555
PR;2022;41526;362.8877497
PE;2022;44832;494.9352269
PI;2022;20413;624.4035238
RJ;2022;46209;287.8254129
RN;2022;18338;555.2921113
RS;2022;17424;160.1396112
RO;2022;5579;352.8743542
RR;2022;3322;522.078318
SC;2022;21865;287.3343819
SP;2022;346518;780.0864912
SE;2022;10277;465.1156476
TO;2022;5211;344.766216
